qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration,retrieval_energy,retrieval_emissions
2265,"### Instruction:
Answer using the context.

### Context:
Peoria State Hospital. Dorothea Dix Psychiatric Center. John George Psychiatric Pavilion. Eastern Shore Hospital Center. Oregon State Hospital. St. Conal's Psychiatric Hospital. Morningside Hospital (Oregon). Warm Springs, Montana. State hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital. Oregon State Hospital",in 1877,0,0,1.6710453,0.000454869,0.000133559,0.0837347,2.28E-05,6.69E-06
2266,"### Instruction:
Answer using the context.

### Context:
Girls' Generation. Lion Heart (song). Catch Me If You Can (Girls' Generation song). Party (Girls' Generation song). We're with You. I Just Wanna Dance. You Think. I Got a Boy (song). Lion Heart (song). We're with You. I Just Wanna Dance. You Think. I Got a Boy (song). We're with You. I Just Wanna Dance. You Think. I Got a Boy (song). We're with You. I Just Wanna Dance. You Think. I Got a Boy",Girls' Generation,0,0.051282051,1.6710453,0.000454869,0.000133559,0.1593524,4.34E-05,1.27E-05
2267,"### Instruction:
Answer using the context.

### Context:
Place de Ville. Coupe de Ville. Chic de ville. Retief, de Ville &amp; Co.. Bazar de l'Hôtel de Ville. Philippe Rochat. Sundays and Cybele.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Robert Oliver Reed,0,0,1.6710453,0.000454869,0.000133559,0.0237275,6.44E-06,1.89E-06
2268,"### Instruction:
Answer using the context.

### Context:
David Spergel. NASA Space Flight Medal. Jay Barbree. Mission patch. Cluster II (spacecraft). Double Star (satellite). Onizuka Prop Wash Award. Don Quijote (spacecraft). MoonLITE. Euclid.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",STS-51-L,0,0,1.6710453,0.000454869,0.000133559,0.0347004,9.43E-06,2.77E-06
2269,"### Instruction:
Answer using the context.

### Context:
Angry Dad: The Movie. I Am Furious (Yellow). Take My Wife (Family Guy). Starry Night (Modern Family). The Simpsons Guy. Lost in Space (American Dad!). Robinson Ekspeditionen 2010. Simpsons Bible Stories.
The Simpsons Movie: The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons Movie. The Simpsons",I Am Furious,0,0.088235294,1.6710453,0.000454869,0.000133559,0.0401875,1.09E-05,3.21E-06
2270,"### Instruction:
Answer using the context.

### Context:
Mayombe. Congo–Ocean Railway. Matadi Bridge. Petrocephalus arnegardi. Lubaland. List of companies of Angola. Ubangi River. Geography of the Democratic Republic of the Congo. Angola. Kasai River.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",1200000 oilbbl/d,0,0,1.6710453,0.000454869,0.000133559,0.0488013,1.33E-05,3.89E-06
2271,"### Instruction:
Answer using the context.

### Context:
Despoina. McLaren MP4-19. Augustine of Canterbury. Dave Ryan (motorsport). Nick Egan. Ryan McLaren. Adrian McLaren. List of Lab Rats characters. Wale Adebanwi. McLaren MP4-21. John W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W.",Adrian Peter McLaren,0,0.0625,1.6710453,0.000454869,0.000133559,0.084085,2.29E-05,6.71E-06
2272,"### Instruction:
Answer using the context.

### Context:
NWA World Welterweight Championship. Weight class (boxing). Taekwondo weight classes. K-1 World MAX 2005 Championship Final. Professional wrestling weight classes. Jalan Pogoh. Lineal championship. The Biggest Loser.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",125 lb (57 kg),0,0,1.6710453,0.000454869,0.000133559,0.0200031,5.43E-06,1.59E-06
2273,"### Instruction:
Answer using the context.

### Context:
Baghdad ER. Antenna (GO!GO!7188 album). 569 (album). Matthew O'Neill (filmmaker). Flash Best. Anant Nag filmography. 2007 Iraqi Parliament bombing. Finder no Mukou. 2003 Iraqi Parliament bombing. Finder no Mukou. 2003 Iraqi Parliament bombing. Finder no Mukou. 2003 Iraqi Parliament bombing. Finder no Mukou. 2003 Iraqi Parliament bombing. Finder no Mukou. 2003 Iraqi Parliament bombing. Finder no Mukou. 2003 Iraqi Parliament bombing. Finder no Mukou. 2003 Iraqi Parliament bombing",The Ten-Year Lunch,0,0,1.6710453,0.000454869,0.000133559,0.0323167,8.78E-06,2.58E-06
2274,"### Instruction:
Answer using the context.

### Context:
National heritage site. McAbee Fossil Beds. Bustard Head Light. Cook's Landing Place, Town of Seventeen Seventy. Waldschlösschen Bridge. Garden of Cultivation. Blegny-Mine. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron. Cape Byron.",Captain Cook's Landing Place,0,0.08,1.6710453,0.000454869,0.000133559,0.0675597,1.84E-05,5.39E-06
2275,"### Instruction:
Answer using the context.

### Context:
Who Killed Harry Houdini?. Live at the Greek Theatre 2008. Jona (album). Scratch and Crow. Winter's Gate. Metamorphosis (Mercenary album). Wicked (Future song). Begum Gul Bakaoli Sarajevo. The Last of Us. The Last of Us. The Last of Us. The Last of Us. The Last of Us. The Last of Us. The Last of Us. The Last of Us. The Last of Us. The Last of Us. The Last of Us. The Last of Us.",A1 Recordings,0,0,1.6710453,0.000454869,0.000133559,0.0881418,2.40E-05,7.04E-06
2276,"### Instruction:
Answer using the context.

### Context:
My Love (Little Texas song). The Truth (Brady Seals album). Nick Carter and Red Club. Nick Carter, Master Detective. Brady Seals (album). Nick Carter (musician). Nick Carter va tout casser. Another song.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Brady Seals,0,0.105263158,1.6710453,0.000454869,0.000133559,0.0415582,1.13E-05,3.32E-06
2277,"### Instruction:
Answer using the context.

### Context:
Cerro Gordo County Courthouse (Iowa). Cumberland Homesteads. Ellicott City, Maryland. Mason, Michigan. Florida's 16th congressional district. List of counties in Florida. Palm Beach County, Florida. Tampa–Florida.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Alachua,0,0,1.6710453,0.000454869,0.000133559,0.0753918,2.05E-05,6.02E-06
2278,"### Instruction:
Answer using the context.

### Context:
New York State Route 9B. Yonkers Avenue. New York State Route 418. Prospect Mountain Veterans Memorial Highway. Boght Corners, New York. New York State Route 9G. New York State Route 157A. Borodino, New York. New York State Route 157B. Bowery, New York. New York State Route 157C. Bowery, New York. New York State Route 157D. Bowery, New York. New York State Route 157E. Bowery, New York. New York State Route",Albany,0,0,1.6710453,0.000454869,0.000133559,0.0790234,2.15E-05,6.31E-06
2279,"### Instruction:
Answer using the context.

### Context:
Vårens första dag. Tony Nilsson. Fabio Rojas. Sjung. Prinsessor. Roughler. Laleh (album). Adelbert Ames Jr.. Den ständiga resan.
Vårens första dag. Tony Nilsson. Fabio Rojas. Sjung. Prinsessor. Roughler. Laleh (album). Adelbert Ames Jr.. Den ständiga resan.
Vårens första dag. Tony Nilsson.",Neneh Cherry,0,0,1.6710453,0.000454869,0.000133559,0.0519831,1.41E-05,4.15E-06
2280,"### Instruction:
Answer using the context.

### Context:
The Ipcress File (film). Sheila Levine Is Dead and Living in New York. The Entity. The Appaloosa. The Snake Woman. Doris Bither case. Little Fauss and Big Halsy. Superman IV: The Dark Knight Returns.
The Ipcress File (film). Sheila Levine Is Dead and Living in New York. The Entity. The Appaloosa. The Snake Woman. Doris Bither case. Little Fauss and Big Halsy. Superman IV: The Dark Knight Returns.
The Ipcress File",The Entity,0,0.03030303,1.6710453,0.000454869,0.000133559,0.0829705,2.26E-05,6.63E-06
2281,"### Instruction:
Answer using the context.

### Context:
MTV Video Music Award for Best Dance Video. List of Good Charlotte awards and nominations. Beyoncé videography. Tim Erem. MTV Video Music Brazil. Taylor Swift videography. Whitney Houston videography. MTV Video Music Award for Best Alternative Video.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Taylor Swift,0,0.090909091,1.6710453,0.000454869,0.000133559,0.1100047,2.99E-05,8.79E-06
2282,"### Instruction:
Answer using the context.

### Context:
Gerd Grochowski. List of Argentine operas. La Dafne. Marjorie Lawrence. Der Ring des Nibelungen: Composition of the poem. Heinrich Schütz. Giuseppe Farinelli. Götze.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",no,0,0,1.6710453,0.000454869,0.000133559,0.0168485,4.57E-06,1.34E-06
2283,"### Instruction:
Answer using the context.

### Context:
Steve Potter. Stoke City F.C. league record by opponent. History of Birmingham City F.C. (1875–1965). Cork City F.C.. Pasi Schwalger. JPV Marikina F.C.. Pasi Schwalger. JPV Marikina F.C.. Pasi Schwalger. JPV Marikina F.C.. Pasi Schwalger. JPV Marikina F.C.. Pasi Schwalger. JPV Marikina F.C.. Pasi Schwal",Hamburg,0,0,1.6710453,0.000454869,0.000133559,0.0731424,1.99E-05,5.84E-06
2284,"### Instruction:
Answer using the context.

### Context:
Sal Island Super Cup. 15 años de éxitos. Kraken IV: Piel de Cobre. Salt Cathedral of Zipaquirá. De Mi Alma Latina. Acuerdate De Mi. Trozos de Mi Alma, La Pieda.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Spanish,0,0,1.6710453,0.000454869,0.000133559,0.0336327,9.14E-06,2.68E-06
2285,"### Instruction:
Answer using the context.

### Context:
Mississippi County, Missouri. Burfordville, Missouri. Yoknapatawpha County. Pearce v. Ham. Bethel High School (Shawnee, Oklahoma). Mississippi County Airport. Delmar, Alabama. Keats, Alabama.
Missouri State University, Missouri. State University of Missouri. State University of Missouri. State University of Missouri. State University of Missouri. State University of Missouri. State University of Missouri. State University of Missouri. State University of Missouri. State University of Missouri. State University of Missouri. State University of Missouri",Sunflower County,0,0.025974026,1.6710453,0.000454869,0.000133559,0.0765826,2.08E-05,6.12E-06
2286,"### Instruction:
Answer using the context.

### Context:
Christine Yoo. Incite Pictures. Accor Asia Pacific’s Business Traveller Research. Asia Pacific Deaf Games. Kissed by the Wolves. Sankarabharanam. Brisbane International Film Festival. Firestorm (2012).
http://www.firestorm.com.au/news/2012/06/firestorm-incite-pictures-of-firestorm-incite-pictures-of-firestorm-incite-pictures-of-firestorm-incite-pictures-of-",Shaw Brothers,0,0,1.6710453,0.000454869,0.000133559,0.0924134,2.51E-05,7.38E-06
2287,"### Instruction:
Answer using the context.

### Context:
Nataša Zorić. Raffaella Reggi. Albert Burke (tennis). Serena Williams. Andrea Hlaváčková. Elena Pampoulova. Lucie Hradecká. Oslo Open University Press.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Raffaella Reggi,0,0.153846154,1.6710453,0.000454869,0.000133559,0.1081552,2.94E-05,8.64E-06
2288,"### Instruction:
Answer using the context.

### Context:
Christmas in Jamaica. Good Life (The Braxtons song). Toni Braxton: Revealed. You Mean the World to Me. Another Sad Love Song. The Essential Toni Braxton. Libra Tour. Ultimate Toni Braxton.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Caesars Entertainment Corporation,0,0,1.6710453,0.000454869,0.000133559,0.0280096,7.60E-06,2.23E-06
2289,"### Instruction:
Answer using the context.

### Context:
Satori in Paris. Old Angel Midnight. Alexandra David-Néel. Off the Road. When I Was Cool. Jack Kerouac Reads On the Road. Big Sur (novel). The Town and the City. Reads on the Road.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",writer,0,0,1.6710453,0.000454869,0.000133559,0.0230251,6.25E-06,1.83E-06
2290,"### Instruction:
Answer using the context.

### Context:
KSJT-FM. Ute meridian. San Angelo Regional Airport. San Angelo, Texas. O.C. Fisher Reservoir. Elizabeth City Regional Airport. Grand Junction Regional Airport. San Angelo Sheep Herders. Grand Junction, Texas. O.C. Fisher Reservoir.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Grand Junction Regional Airport,0,0.2,1.6710453,0.000454869,0.000133559,0.0697791,1.90E-05,5.57E-06
2291,"### Instruction:
Answer using the context.

### Context:
Grady Higginbotham. 2017 Texas Tech Red Raiders baseball team. Texas Tech Red Raiders baseball. 2011 Texas Tech Red Raiders football team. Dan Law Field at Rip Griffin Park. List of Texas Tech Red Raiders in the NFL Draft. 2014 Texas Tech Red Raiders in the NFL Draft. 2013 Texas Tech Red Raiders in the NFL Draft. 2012 Texas Tech Red Raiders in the NFL Draft. 2013 Texas Tech Red Raiders in the NFL Draft. 2013 Texas Tech Red Raiders in the NFL Draft. 2012 Texas Tech Red Raiders in the NFL Draft. 2013 Texas Tech Red Raiders",Texas Tech University,0,0.040816327,1.6710453,0.000454869,0.000133559,0.0604922,1.64E-05,4.83E-06
2292,"### Instruction:
Answer using the context.

### Context:
American Professional Football League. China Arena Football League. Australian Football League reserves affiliations. Wilf Tranter. John Bosa. Homosexuality in American football. Wilfred Bamnjo. Jess Rodriguez. American football in Western Pennsylvania.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Swansea City,0,0,1.6710453,0.000454869,0.000133559,0.1414824,3.85E-05,1.13E-05
2293,"### Instruction:
Answer using the context.

### Context:
Princess Yolanda of Savoy. Drusilla of Mauretania the Elder. Philip, Despot of Romania. Victor Emmanuel III of Italy. Princess Maria Pia of Bourbon-Parma. Jolanda di Savoia.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",11 November 1869,0,0,1.6710453,0.000454869,0.000133559,0.0172065,4.66E-06,1.37E-06
2294,"### Instruction:
Answer using the context.

### Context:
Bud Middaugh. Charlton Young. Evergreen Diplomats. Jerry Planutis. List of Oklahoma Sooners head football coaches. Walter Skidmore. 1983–84 Michigan Wolverines men's basketball team. List of Utah Utes men's basketball team.
###
Bud Middaugh. Charlton Young. Evergreen Diplomats. Jerry Planutis. List of Utah Utes men's basketball team.
###
Bud Middaugh. Charlton Young. Evergreen Diplomats. Jerry Planutis. List of",Conference USA,0,0,1.6710453,0.000454869,0.000133559,0.0377351,1.03E-05,3.01E-06
2295,"### Instruction:
Answer using the context.

### Context:
List of Harvey Beaks episodes. Chowder (TV series). South Park (season 10). Band Geeks. List of SpongeBob SquarePants episodes. List of Invader Zim characters. Dwight Schultz. Harvey Beaks. The Return of the King.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",William Dwight Schultz,0,0.102564103,1.6710453,0.000454869,0.000133559,0.0509295,1.38E-05,4.07E-06
2296,"### Instruction:
Answer using the context.

### Context:
Gurney's Bank (Norwich). Paragon Software. Paragon, Nebraska. Gurney's Seed and Nursery Company. Gurney Paragon. Gildencroft Quaker Cemetery, Norwich. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners. Paragon Partners.",Godiva,0,0,1.6710453,0.000454869,0.000133559,0.0248391,6.74E-06,1.98E-06
2297,"### Instruction:
Answer using the context.

### Context:
Andaz (1971 film). Hysterical Blindness (film). Vanity Fair (2004 film). Enrico Cocozza. Nitish Roy. The Namesake (film). Salaam Bombay!. Mira Nair. Shafiq. The Namesake (film).
### Context:
Answer using the context.
### Context:
Answer using the context.
### Context:
Answer using the context.
### Context:
Answer using the context.
### Context:
Answer using the context.
### Context:
Answer using",yes,0,0,1.6710453,0.000454869,0.000133559,0.0254189,6.90E-06,2.03E-06
2298,"### Instruction:
Answer using the context.

### Context:
Basset Bleu de Gascogne. Armagnac-Ténarèze. Landes de Gascogne Regional Natural Park. Côtes de Gascogne. Gros Manseng. Griffon Bleu de Gascogne Regional Natural Park. Côtes de Gascogne. Gros Manseng. Griffon Bleu de Gascogne Regional Natural Park. Côtes de Gascogne. Gros Manseng. Griffon Bleu de Gascogne Regional Natural Park.",Basset Bleu de Gascogne,0,0.142857143,1.6710453,0.000454869,0.000133559,0.0163224,4.42E-06,1.30E-06
2299,"### Instruction:
Answer using the context.

### Context:
Danny Almonte. Southern Ohio Conference. Cardinal Hayes High School. Hudson County Interscholastic League. Blanchard Valley Conference. Manny Villafana. Crest High School (North Carolina). Oahu Interscholastic Association.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","New York City, Long Island, and Westchester",0,0,1.6710453,0.000454869,0.000133559,0.0698851,1.90E-05,5.58E-06
2300,"### Instruction:
Answer using the context.

### Context:
Sands Atlantic City. The Atlantic Club Casino Hotel. Borgata. TEN Atlantic City. Trump World's Fair. Trump Entertainment Resorts. Trumped! (book). Ponce Plaza Hotel &amp; Casino. Saratoga Casino Hotel &amp; Casino. Saratoga Casino Hotel &amp; Casino. Saratoga Casino Hotel &amp; Casino. Saratoga Casino Hotel &amp; Casino. Saratoga Casino Hotel &amp; Casino. Saratoga Casino Hotel &amp; Casino. Saratoga Casino Hotel &amp; Casino",The Atlantic Club Casino Hotel,0,0.117647059,1.6710453,0.000454869,0.000133559,0.0254992,6.92E-06,2.03E-06
2301,"### Instruction:
Answer using the context.

### Context:
Superior Oil Company Building. List of tallest buildings in Indonesia. Wisma Nusantara. Kahramanlar Business Center. The Harmon. Lincoln Bank Tower. Prestes Maia (building). Rotunda (Birmingham). Three Nationwide.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",MGM Resorts International,0,0,1.6710453,0.000454869,0.000133559,0.0462518,1.26E-05,3.69E-06
2302,"### Instruction:
Answer using the context.

### Context:
Rumble Fish. The Rumble Fish. Too Many Women (novel). The Rumble Fish 2. The Outsiders (novel). Rumble Fish (novel). Rusty-James. In the Best Families. And Be a Villain. Labor Day.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",1967,0,0,1.6710453,0.000454869,0.000133559,0.0574587,1.56E-05,4.59E-06
2303,"### Instruction:
Answer using the context.

### Context:
Alan H. Epstein. Journal of Accounting and Economics. Flexible solar cell research. Nikolaos Mavridis. Henry W. Holt. Gilbert V. Rohleder. Matt Guthmiller. Dorothy Walcott Weeks. Nevin S. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W. W",yes,0,0,1.6710453,0.000454869,0.000133559,0.0255665,6.95E-06,2.04E-06
2304,"### Instruction:
Answer using the context.

### Context:
Alfredo Marte. Carlos Peguero. Alex Guerrero. Melky Cabrera. Raúl Ibañez. Marcell Ozuna. Juan Lagares. Darrell Ceciliani. Jefry Marté. Alfonso Soriano. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Peguero. Carlos Pegu",2013,0,0,1.6113638,0.000438625,0.000128789,0.0533397,1.45E-05,4.26E-06
2305,"### Instruction:
Answer using the context.

### Context:
Manhattan Community Board 11. Manhattan Community Board 12. Manhattan Community Board 6. Manhattan Community Board 8. Manhattan Community Board 10. Kips Bay, Manhattan. Manhattan Community Board 9. Murray Hill, Manhattan. Manhattan Community Board 1. Manhattan Community Board 2. Manhattan Community Board 3. Manhattan Community Board 4. Manhattan Community Board 5. Manhattan Community Board 6. Manhattan Community Board 7. Manhattan Community Board 8. Manhattan Community Board 9. Manhattan Community Board 10. Kips Bay, Manhattan. Manhattan Community Board 11. Kips Bay, Manhattan. Manhattan Community Board 12",Tudor City,0,0,1.6113638,0.000438625,0.000128789,0.0552643,1.50E-05,4.41E-06
2306,"### Instruction:
Answer using the context.

### Context:
Play (Swedish group). Anaïs Lameche. We Are Smug (album). So Beautiful. Playin' Around. A Big Night in with Darren Hayes Tour. Robert Conley (music producer). Me, Myself, and the World.
###
The video is available on YouTube.
###
The video is available on YouTube.
###
The video is available on YouTube.
###
The video is available on YouTube.
###
The video is available on YouTube.
###
The video is available on YouTube",Darren Stanley Hayes,0,0.060606061,1.6113638,0.000438625,0.000128789,0.0841859,2.29E-05,6.72E-06
2307,"### Instruction:
Answer using the context.

### Context:
Nick Cheung. Trouble Maker (film). Ting Hai effect. Byron Pang. Kohima Camp. New Hong Kong Society. Hong Kong Morris. The Greed of Man. Alex Fong (singer). Chung King-fai. The Greed of Man.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Bosco Wong Chung-chak,0,0,1.6113638,0.000438625,0.000128789,0.0923883,2.51E-05,7.38E-06
2308,"### Instruction:
Answer using the context.

### Context:
Icos. Commercial Solvents Corporation. Pascal Brandys. Daiichi Sankyo. William Ticknor. Manteia Predictive Medicine. John F. Milligan. William Davis Ticknor, Sr.. Genzyme. Peptech.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",1919,0,0,1.6113638,0.000438625,0.000128789,0.0593062,1.61E-05,4.73E-06
2309,"### Instruction:
Answer using the context.

### Context:
Mats Jonsson (cartoonist). Greg Budgett. American Splendor. Joyce Brabner. Toby Radloff. Modern Tales. Gerry Shamray. American Splendor (film). Josh Neufeld. Brian Bram. American Splendor (film). Josh Neufeld. Brian Bram. American Splendor (film). Josh Neufeld. Brian Bram. American Splendor (film). Josh Neufeld. Brian Bram. American Splendor (film). Josh Neufeld. Brian Bram. American Splendor",Denise Levertov,0,0,1.6113638,0.000438625,0.000128789,0.0799651,2.17E-05,6.39E-06
2310,"### Instruction:
Answer using the context.

### Context:
Cold North Killers: Canadian Serial Murder. Randall Woodfield. Cave-in-Rock State Park. Sun Hill Serial Killer. Luis Garavito. Raman Raghav 2.0. My Brother the Serial Killer. Charles Cullen.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","who operated in Tennessee, Kentucky, Illinois, and Mississippi, in the late eighteenth century.",0,0,1.6113638,0.000438625,0.000128789,0.0372244,1.01E-05,2.97E-06
2311,"### Instruction:
Answer using the context.

### Context:
Colorado Republican caucuses, 2016. Mini-Tuesday. American Samoa Democratic caucuses, 2008. Taboo Tuesday (2005). NXT TakeOver: Brooklyn. Alaska Democratic caucuses, 2008. 2004 WWE draft lottery. WWE Super Tuesday. Taboo Tuesday (2004). NXT TakeOver: Brooklyn. Alaska Democratic caucuses, 2008. 2004 WWE draft lottery. WWE Super Tuesday. Taboo Tuesday (2004). NXT TakeOver: Brooklyn. Alaska Democratic caucuses, 2008. 2004 WWE draft lottery. WWE Super Tuesday. Taboo Tuesday (2004). NXT TakeOver: Brooklyn. Alaska Democratic caucuses",TD Garden,0,0,1.6113638,0.000438625,0.000128789,0.0412421,1.12E-05,3.29E-06
2312,"### Instruction:
Answer using the context.

### Context:
Hockey stick graph. Huntsville Hospital Tram System. Hockey stick controversy. John Christy. Pseudoproxy. Frank Wentz. Temperature record of the past 1000 years. Carl Mears. Instrumental temperature record. UAH satellite temperature record.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Roy Spencer,0,0,1.6113638,0.000438625,0.000128789,0.0299111,8.12E-06,2.39E-06
2313,"### Instruction:
Answer using the context.

### Context:
A Talk. Lee Ki-seop. I (Taeyeon song). Lee Jai-jin (musician, born 1979). Taeyang. Sunmin. Bubble Pop! (song). Babe (Hyuna song). Talk About the Future. (song).
###
The Future.
###
The Future.
###
The Future.
###
The Future.
###
The Future.
###
The Future.
###
The Future.
###
The Future.
###
The Future.
###
The",Hyuna,0,0.052631579,1.6113638,0.000438625,0.000128789,0.0346845,9.42E-06,2.77E-06
2314,"### Instruction:
Answer using the context.

### Context:
See You in Magic. The Walt. Mario Rubalcaba. Rick Froberg. The Husbands. Hot Snakes. Obits. Audit in Progress. John Reis. Peel Sessions (Hot Snakes EP)See You in Magic. The Walt. Mario Rubalcaba. Rick Froberg. The Husbands. Hot Snakes. Obits. Audit in Progress. John Reis. Peel Sessions (Hot Snakes EP)See You in Magic. The Walt. Mario Rubalcaba. Rick Froberg. The Husbands. Hot",UB40,0,0,1.6113638,0.000438625,0.000128789,0.0357492,9.71E-06,2.85E-06
2315,"### Instruction:
Answer using the context.

### Context:
Vukovar massacre. Drift and Mastery. Amherst Papyrus. Dressing Point massacre. Ecclesiam suam. Mexican Texas. Battle of Velasco. Mel Casas. Skull Creek massacre. Constitution of the Ukrainian National Assembly.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",1824 Constitution of Mexico,0,0.111111111,1.6113638,0.000438625,0.000128789,0.0569264,1.55E-05,4.54E-06
2316,"### Instruction:
Answer using the context.

### Context:
Mariana Dimitrova. Manly Times. The Arsonists of Europe. My Darling, My Darling (film). A Waltz by Strauss (1925 film). Anni (film). Eureka, Nunavut (1925 film).
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Max Neufeld,0,0,1.6113638,0.000438625,0.000128789,0.0244017,6.62E-06,1.94E-06
2317,"### Instruction:
Answer using the context.

### Context:
Mos Def. Love Rain (Jill Scott song). Mos Def discography. Black on Both Sides. Black Star (rap duo). The Ecstatic. Best of Decade I: 1995–2005. Def Poetry Jam. True Magic. The New York Times.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Talib Kweli,0,0,1.6113638,0.000438625,0.000128789,0.0346475,9.42E-06,2.76E-06
2318,"### Instruction:
Answer using the context.

### Context:
Appy Fizz. Painkiller (cocktail). Juice. Doi Kham. Natalie's Orchid Island. Vampiro (cocktail). Pago International. Appletiser. Lebedyansky (company). Chivita 100.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",yes,0,0,1.6113638,0.000438625,0.000128789,0.0129441,3.50E-06,1.03E-06
2319,"### Instruction:
Answer using the context.

### Context:
Pascal Mazzotti. The Doctor in Spite of Himself (1931 film). Le roi malgré lui. The Doctor in Spite of Himself (film). Emmanuel Chabrier. Le roi l'a d'unter.
### Context:
Pascal Mazzotti. The Doctor in Spite of Himself (film). Emmanuel Chabrier. Le roi l'a d'unter.
### Context:
Pascal Mazzotti. The Doctor in Spite of Himself (film). Emmanuel Ch",Louise,0,0,1.6113638,0.000438625,0.000128789,0.0157093,4.26E-06,1.25E-06
