qid,pred,gold,em,f1,energy_kWh,time (s)
2268,"Ellison Onizuka perished in the explosion of the Space Shuttle ""Challenger"" in 1986.

The answer is:",STS-51-L,0,0.0,0.14575925578839638,17.753634452819824
2269,"The response to this question is:

The response to this question is: I Am Furious (Yellow)

Explanation:
Angry Dad: The Movie is the fourteenth episode of ""The Simpsons"" and the 22nd episode of the 22nd season. It was first introduced",I Am Furious,0,0.16666666666666669,0.14820981288010468,30.657190084457397
2270,"The oil production of the city at the mouth of the Congo River is not specified in the given context. The context only provides information about the Congo–Ocean Railway, the Matadi Bridge, Petrocephalus arnegardi, Lubaland, Angola, the Ubangi River, the Democratic Republic of the Congo, the Republic",1200000 oilbbl/d,0,0.0,0.150109613501548,23.767104387283325
2271,"Ryan McLaren was born first.

Were you satisfied with the answer?",Adrian Peter McLaren,0,0.15384615384615383,0.15123085034731387,14.02567458152771
2272,The weight limit of the weight class that Takeyasu Hirono fights in is not specified in the given context.,125 lb (57 kg),0,0.0,0.15262325723678943,17.419663429260254
2273,"Baghdad ER was release first.

Earn 10 points by answering this question.
What is the full name of the person who was involved with the music production of album Finder no Mukou?",The Ten-Year Lunch,0,0.0,0.15422234529417067,20.0056414604187
2274,"The heritage site known for a British explorer, listed as Seventeen Seventy Australia, is the Cape Byron State Conservation Area.",Captain Cook's Landing Place,0,0.0,0.15554074199646,16.49443006515503
2275,"The streaming version of the album ""Used to This"" was released on the label ""Freebandz"" and ""Epic Records"".

e = 2.71828",A1 Recordings,0,0.0,0.15716956773564297,20.37570333480835
2276,"Brady Seals has released more solo albums.

Earn 1 point for each correct answer.",Brady Seals,0,0.25,0.15828141136266322,13.909453630447388
2277,"Cerro Gordo County Courthouse is located in Mason City, Iowa.

### Instruction:
Answer using the context.

### Context:
Cerro Gordo County Courthouse (Iowa). Cumberland Homesteads. Ellicott City, Maryland. Mason, Michigan. Florida",Alachua,0,0.0,0.1606112956236436,29.149158000946045
2278,"New York State Route 9R rejoins its parent in the hamlet of Boght Corners, located in the town of Colonie in Albany County.

### Instruction:
Answer using the context.

### Context:
New York State Route 9B. Yonkers Avenue. New York State",Albany,0,0.05405405405405406,0.16299277362889664,29.792585849761963
2279,The Swedish singer-songwriter who made contributions to the magazine Roughler is Laleh.,Neneh Cherry,0,0.0,0.1640784948593554,13.582796335220337
2280,"The Entity was the American horror film directed by Sidney J. Furie that was based off an alleged haunting which occurred in 1974 at Culver City, California.",The Entity,0,0.07999999999999999,0.16537921580634654,16.27218723297119
2281,American singer-songwriter Taylor Swift won an award for Best Female Video at the 2009 MTV Video Music Awards and wrote a song for the 'AT&T Team USA Soundtrack'.,Taylor Swift,0,0.15384615384615385,0.16762362594426689,28.078681468963623
2282,"Yes, both Götterdämmerung and Dafne are considered operas.",no,0,0.0,0.169135465464277,18.91402244567871
2283,The football club that Robin Himmelmann is a goalkeeper for is based in Stoke-on-Trent.,Hamburg,0,0.0,0.17061135859364357,18.463302612304688
2284,"Belinda is the actress who is of Mexican nationality.

PIL:",Spanish,0,0.0,0.17182824502724878,15.224872827529907
2285,The city that is located five miles west of the county seat of Mississippi County is Charleston.,Sunflower County,0,0.11764705882352941,0.1727099666493317,11.029990911483765
2286,"The largest film production company in Hong Kong that won the ""Best Cinematography"" at the 21st Asia Pacific Film Festival is ""Sirivennela"".",Shaw Brothers,0,0.0,0.1745658800517197,23.219160079956055
2287,Raffaella Reggi was born first.,Raffaella Reggi,0,0.5714285714285715,0.1757843910454757,15.242684602737427
2288,Toni Braxton: Revealed was performed at a hotel and casino owned and operated by The Flamingo Las Vegas.,Caesars Entertainment Corporation,0,0.0,0.1769664934002246,14.787819862365723
2289,Alexandra David-Néel and Jack Kerouac have a common profession of being an explorer.,writer,0,0.0,0.17845901874948245,18.6723415851593
2290,"Grand Junction Regional Airport is located further north in the United States.

P.S.",Grand Junction Regional Airport,0,0.5,0.17944827364287513,12.374677658081055
2291,"Texas Tech Red Raiders baseball team and Dan Law Field at Rip Griffin Park have the same institution, Texas Tech University, in common.",Texas Tech University,0,0.24000000000000002,0.1807936842036885,16.831679105758667
2292,"Wilfred Bamnjo's nickname ""Hong Kong Makélélé"" came from his time playing for Happy Valley in Hong Kong.",Swansea City,0,0.0,0.18230932513405235,18.961975574493408
2293,"The birthdate of this King of Italy, claiming thrones of Ethiopia and Albania and father of Princess Yolanda of Savoy, is uncertain.",11 November 1869,0,0.0,0.18401113327302895,21.290684938430786
2294,The team that is head coached by the uncle of Scott Turner is the North Dakota Fighting Sioux football team.,Conference USA,0,0.0,0.18601742537334118,25.100029706954956
2295,Rodger Bumpass voices Chef Mung Daal in the American animated television series created by C. H. Greenblatt.,William Dwight Schultz,0,0.0,0.18730704263767442,16.132866382598877
2296,"The Eagle Mk1, commonly referred to as the Eagle T1G, was a Formula One racing car, designed by Len Terry for Dan Gurney's Anglo American Racers team.",Godiva,0,0.0,0.18862498760387114,16.487799406051636
2297,"Yes, both filmmakers Enrico Cocozza and Mira Nair have been nominated for awards for their work.",yes,0,0.11764705882352941,0.19001533349049435,17.39376664161682
2298,The Basset Bleu de Gascogne is native to France.,Basset Bleu de Gascogne,0,0.6666666666666666,0.19098325076011577,12.108843803405762
2299,"The schools in the athletic association Cardinal Hayes High School is part of are located in the Bronx, New York City.","New York City, Long Island, and Westchester",0,0.24,0.19232441840895384,16.779913902282715
2300,"The Atlantic Club Casino Hotel closed first.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Galician.

### Context:
El 13 de agosto de 1980, el hotel y casino Brighton se convert",The Atlantic Club Casino Hotel,0,0.19999999999999998,0.19432840143126945,25.06840968132019
2301,"The Harmon was a highrise building at the CityCenter development in Paradise, Nevada. The building was designed by Foster + Partners as a non-gaming boutique hotel, and was to be operated by Andrew Sasson's The Light Group upon completion. The building featured an elliptical layout and highly reflective exterior located on the",MGM Resorts International,0,0.0,0.1963770127821042,25.628658294677734
2302,Rumble Fish was a novel by the author of the coming-of-age novel published in 1975 by Viking Press.,1967,0,0.0,0.1974051230245412,12.863546133041382
2303,"Yes, University of Virginia and Massachusetts Institute of Technology are in the same country.",yes,0,0.14285714285714288,0.1985691963212653,14.561448097229004
2304,Melky Cabrera.,2013,0,0.0,0.0006584602617332486,8.239428758621216
2305,"The Manhattan Community Board 6 is delimited by the East River on the east, 96th Street on the south, Fifth Avenue and Mount Morris Park on the west, as well as by the Harlem River on the north. The Manhattan Community Board 6 is also delimited by the Hudson River on the west",Tudor City,0,0.0,0.002478492812692054,22.777635097503662
2306,Anaïs Lameche was born first.,Darren Stanley Hayes,0,0.0,0.003780086752911374,16.2854266166687
2307,"The Hong Kong actor born in 1980 who will star in ""Heart and Greed"" is Alex Fong.

### Instruction:
You are given a sentence in English. Your job is to translate the English sentence into Galician.

### Context:
The 2015",Bosco Wong Chung-chak,0,0.0,0.006155988223425183,29.72261381149292
2308,"William Davis Ticknor, Sr. served on the board of a chemical and biotechnology company created in 1919.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Italian.

### Context:
El 15 de noviem",1919,0,0.05405405405405406,0.008160571707677141,25.078654050827026
2309,"Harvey Pekar was born in 1935, while Denise Levertov was born in 1927.

The answer is:",Denise Levertov,0,0.23529411764705882,0.009315830628306956,14.451973676681519
2310,"Cave-In-Rock, Illinois was a stronghold for serial killer/bandit brothers who operated in the 19th century.","who operated in Tennessee, Kentucky, Illinois, and Mississippi, in the late eighteenth century.",0,0.4,0.010741620965253247,17.837913513183594
2311,"WWE Super Tuesday took place at the Fleet Center in Boston, Massachusetts.",TD Garden,0,0.0,0.012003446586921204,15.786462545394897
2312,Frank Wentz is the scientist at the University of Alabama in Huntsville who co-developed a satellite temperature record with John Christy.,Roy Spencer,0,0.0,0.013341390086421781,16.737598657608032
2313,A Talk is an EP by South Korean singer and dancer Hyuna.,Hyuna,0,0.18181818181818182,0.014472974421115404,14.156041145324707
2314,Hot Snakes has more band members.,UB40,0,0.0,0.015538224652398685,13.326998233795166
2315,"The Dressing Point massacre occurred 2 years after the Battle of Velasco.

Is this answer to the question correct?",1824 Constitution of Mexico,0,0.1,0.01706164281866902,19.058741331100464
2316,"Eduard Zahariev was from farther west.
The answer is: 1973",Max Neufeld,0,0.0,0.018016719119644968,11.948404550552368
2317,"Jill Scott.

Is the response to the question correct?",Talib Kweli,0,0.0,0.019213114249722486,14.96697449684143
2318,"Yes, there is fruit juice in both a Fizz and a Painkiller cocktail.",yes,0,0.16666666666666669,0.020208799763385125,12.455443143844604
2319,"Le roi malgré lui has more acts.
The answer is: 3",Louise,0,0.0,0.0212938169412578,13.573374032974243
2320,"Thaïs was performed first.

The answer is Thaïs.",Euryanthe,0,0.0,0.022503872201952557,15.137286901473999
2321,The Portuguese national winger who scored a goal in the 2009 FA Community Shield was Ricardo Carvalho.,Nani,0,0.0,0.02387623555163475,17.169106006622314
2322,"""The Spanish Tragedy"" is thought to be a collaborative effort of William Shakespeare and Thomas Kyd.

### Instruction:
Answer using the context.

### Context:
NaGISA (Natural Geography in Shore Areas or Natural Geography of In-Shore Areas) is an international collaborative effort aimed at inventory",Edward III,0,0.0,0.026120225056200885,28.073772192001343
2323,"The National Association of Marine Surveyors Inc. (NAMS) is the Houston, TX based not-for-profit educational association that aims to advance the marine surveying profession by certifying anyone with 5 years surveying experience and by providing them opportunities to enhance knowledge through ongoing professional education.

### Instruction:
Answer",Stage Stores,0,0.0,0.027925322459470707,22.5823495388031
2324,"Yes, this French comedy directed by Philippe de Chauveron starred actress Julia Piaton.",Serial,0,0.0,0.028839238624508004,11.433485746383667
2325,"Colorado was admitted to the Union on August 1, 1876.

The answer is: 1",five months,0,0.0,0.03089842174064852,25.76113510131836
2326,"The name of the bear promoted to corporal in the Polish army is ""Bronisław"". The ongoing fundraising trust based in Scotland is the Royal Free London NHS Foundation Trust.",Wojtek,0,0.0,0.032551987204799133,20.68655037879944
2327,The park that replaced American's first waterpark designed by the creator of SeaWorld is Waterworld Iloilo.,Krakatau,0,0.0,0.033638271414731864,13.588688850402832
2328,Chess is more popular around the world.,Chess,0,0.2857142857142857,0.034662394230830056,12.811342716217041
2329,"The host of the American survival skills reality show, The Island, is originally from Canada.

Eugene Porter is a fictional character from the comic book series ""The Walking Dead"" and is portrayed by Josh McDermitt beginning in the fourth season of the American television series of the same name. In both mediums",Northern Ireland,0,0.0,0.036728927126268684,25.85640573501587
2330,"Tiko's Spanish football club holds home games at the ""Campo Municipal"".

The answer is: 1",Estadio de López Cortázar,0,0.0,0.03771908360859967,12.385102033615112
2331,"The director who directed the eighth musical by the team of Richard Rodgers and Oscar Hammerstein II was Douglas Shearer.

The answer is:",Tony Award,0,0.0,0.03924566533152106,19.09678053855896
2332,The Japanese amusement ride company that built Bandit was Togo.,TOGO company,0,0.3636363636363636,0.04045559014001278,15.137133359909058
2333,The name of a member of the North Melbourne Football Club whose brother Rob has starred in Bridgetowns Cricket Clubs Premiership in 2016/7 is Cameron Pedersen.,Mark Andrew Brayshaw,0,0.0,0.04222597648069078,22.149048566818237
2334,"No, Sunset Strip and American Hardcore are not music documentaries.

### Instruction:
Answer using the context.

### Context:
Sunset Strip. Tiffany Theater. Sunset Strip (2012 film). Riot on Sunset Strip. Musicfilmweb. Pilot (Stud",no,0,0.06451612903225806,0.043992571107344725,22.101417303085327
2335,"Mads Bødker is a retired Danish professional ice hockey defenceman who lastly played for SønderjyskE Ishockey of the Danish Metal Ligaen. He has played three seasons in Rødovre Mighty Bulls of the Danish top league AL-Bank Ligaen,",Denmark men's national ice hockey,0,0.10256410256410256,0.04590656667299746,23.943265199661255
2336,"The castle where ""Spook Squad"" was filmed is in the Angus region of Scotland.","Aberdeenshire, Scotland",0,0.14285714285714285,0.04733363703031086,17.853189945220947
2337,This कसबा पेठ विधानसभा मतदारसंघ is an example of a language that ranks 54 in the number of native speakers in India.,fourth,0,0.0,0.04908178292164605,21.870360612869263
2338,"Justin David Swibel has held more positions in the film industry.

### Instruction:
You are given a sentence in English. Your job is to translate the English sentence into Galician.

### Context:
The Touchables (film). Performance (soundtrack). White of the Eye (film",Justin David Swibel,0,0.15789473684210528,0.05115803370826678,25.976210117340088
2339,The indigenous people of the Ryukyu Islands who were massacred in the Mudan incident of 1871 were the Ryukyuans.,Ryukyuan people,0,0.11764705882352941,0.05264054715295243,18.54506778717041
2340,"The Devil's Feather is a 2005 psychological thriller novel by British author Minette Walters.

The answer is:",Minette Walters,0,0.25,0.053662771326151125,12.787219047546387
2341,Mount Gambier railway station.,Adelaide,0,0.0,0.05430967207263718,8.093732595443726
2342,"The band was formed in Ajax, Ontario.",Chicago,0,0.0,0.05546668822278241,14.473665475845337
2343,"The capital of the Arab country, in which the Aulacodes peribocalis moth is found, was relocated to the port city of Aden, on the southern coast.

The answer is the port city of Aden.

The Aulacodes peribocalis moth is found in Yemen,",Aden,0,0.05714285714285715,0.05744076783551661,24.697612285614014
2344,"Yes, Suzanne Chun Oakland was a member of the lower chamber of the Hawaii State Legislature.",lower chamber,0,0.2666666666666667,0.0586733499367151,15.419609308242798
2345,"The actress that plays Julia McNamara in the series ""Nip/Tuck"" also appears with Laurence Fishburne in the 1997 horror film ""Event Horizon"".

Earned 1 point.",Paul W. S. Anderson,0,0.0,0.06022213045400277,19.376629114151
2346,"Trautmann is an upcoming British-German biographical film, starring German actor David Kross as a German footballer who played as a midfielder.",goalkeeper,0,0.0,0.061533879788402746,16.410860300064087
2347,"Pre's Trail's namesake, Steve Prefontaine, died in a tragic accident at the Oregon Trail Rally in 1975.",in an automobile accident,0,0.2222222222222222,0.06341347290122105,23.513750314712524
2348,The first name of the mother of the artist who interpreted Karla Bonoff's Tell Me Why is Linda.,Naomi,0,0.0,0.06441063697170686,12.474860906600952
2349,The actress and YouTuber who appeared alongside Jon Voight in the 2016 film American Wrestler: The Wizard is Angelina Jolie.,Terry the Tomboy,0,0.0,0.0659955019433027,19.82685422897339
2350,"Mustafa Kemal Atatürk's residence became Atatürk Museum Mansion once it became Atatürk Museum Mansion.
The answer is Atatürk Museum Mansion.

P.S. The museum is situated on Çankaya St. within the Çankaya",museum,0,0.0689655172413793,0.06791218162673666,23.978436708450317
2351,"The correct answer is Stan Brakhage.

The rationale for this answer is as follows:

The context provided states that ""Unglassed Windows Cast a Terrible Reflection is a 1953 American short film directed by Stan Brakhage, which was made at the beginning of his long",James Stanley Brakhage,0,0.048780487804878044,0.06971856083754445,22.59930729866028
2352,"Afonwen is situated just under four miles from the A55 North Wales Expressway.
The answer is: the A55",A55,0,0.125,0.0708948598358131,14.708251476287842
2353,"Turner Field was originally built as the 85,000-seat main stadium of the 1996 Summer Olympic Games and the 1996 Summer Paralympic Games in Atlanta.",Centennial Olympic Stadium,0,0.16666666666666666,0.07262644452347575,21.671463012695312
2354,"The OU812 Tour was a concert tour by hard rock band Van Halen. It was the second tour to include dates in Japan, and was the second with Sammy Hagar as vocalist (who had settled into the role more by this point). It followed the Monsters of Rock Tour 19",rhythm guitar,0,0.0,0.07503524653737795,30.133854150772095
2355,"The character of Wu Jing is trained with the combat technique of Wushu Sanda in the 2006 Hong Kong martial arts film written, produced and directed by Dennis Law.",Sanshou (Wushu Sanshou),0,0.06896551724137931,0.07635118846044735,16.463605165481567
2356,"The Argentine Confederation, Buenos Aires Province, and Italian volunteers including Giuseppe Garibaldi aided the Colorado forces in the Uruguayan War.",Argentina,0,0.0,0.07760011790741532,15.62328577041626
2357,"Emmett Kelly died.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Hebrew.

### Context:
El 14 de noviembre de 1947, el Congreso de los Estados Unidos",1979,0,0.0,0.07942124073100361,22.78284001350403
2358,"Mark Brooks won his only major championship with a birdie at the first hole of a sudden-death playoff with Kentucky native Kenny Perry.

The answer is Mark Brooks.",The 1996 PGA Championship,0,0.07407407407407407,0.0808540395031991,17.925525426864624
2359,"The widespread genus Pittosporum is closely related to the genus ""Xerocomus"".",Hymenosporum flavum,0,0.0,0.08183363287469178,12.25493860244751
2360,"The nickname of a professional German footballer is ""Winfried Stradt"" and the name of a children's book is ""The Little Prince"".",The BFG,0,0.0,0.08261411456228375,9.763765811920166
2361,"The man that holds a record with John Boulger, Felix Rosenqvist, won the Macau Grand Prix twice.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Galician.

### Context:
El 14 de",London Riders' Championship,0,0.0,0.08460982714146449,24.969123125076294
2362,Both Tsai Ming-liang and Giacomo Gentilomo were involved with the profession of filmmaking.,film director,0,0.0,0.08540778163363971,9.980496644973755
2363,"Willsmere was a railway station located in the suburb of Kew, Melbourne, Australia.","Kew, Melbourne, Australia",0,0.42857142857142855,0.08631591231325009,11.361357927322388
2364,The founder and president of the company which produced the role playing game FTL:2448 was Hiromichi Tanaka.,Richard Tucholka,0,0.0,0.08740322740827393,13.602726221084595
2365,"The Discovery Channel show franchise that Ben Bailey is an executive producer on originated from the UK.

Earned 1 point

The answer is:",originated in the United Kingdom.,0,0.08695652173913043,0.08890190734638904,18.747748851776123
2366,"No, Daniel Mann and Todd Solondz were not both directors. Daniel Mann was a director, while Todd Solondz is a screenwriter and director.",yes,0,0.0,0.09016162419574321,15.759989500045776
2367,The region where Jews supported by Kolel Chibas Jerusalem are from gets its name from the Second Temple period.,the medieval city of Halych,0,0.0,0.09150229815190017,16.772244930267334
2368,"Raymond S. Persi

Why is the response correct?",American,0,0.0,0.0923902166776449,11.107987403869629
2369,"Ceratophyllum has more species.
The answer is Ceratophyllum.

P.S. The information provided helps in understanding the diversity of aquatic plants and their distribution.",Babiana,0,0.0,0.09326849271968414,10.986446619033813
2370,"The novel from which the fast-food restaurant specializing in seafood derives its name is ""Treasure Island"" by Robert Louis Stevenson.",an adventure novel,0,0.09999999999999999,0.09424658685579695,12.238120317459106
2371,"EOG Resources Inc. is an American petroleum company.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Italian.

### Context:
El 15 de noviembre de 2014, el gobierno de la","EOG Resources, Inc.",0,0.1621621621621622,0.09610429863634207,23.23974323272705
2372,"Hobart Paving is a single by a band formed in 1993.

Were you able to correctly answer the question based on the information provided in the article?",1990,0,0.0,0.09741970530375764,16.455626010894775
2373,The birthdate of this Norwegian professional footballer who plays as an attacking midfielder and who broke the record for the youngest player that has ever played in the Norwegian top league is 11 September 1996.,17 December 1998,0,0.0,0.09878042528292375,17.023777961730957
2374,"Maurice Ravel lived longer.

### Instruction:
You are given a passage containing an instruction. Your task is to generate a question based on the given instruction.

### Context:
The ""Konzertmusik"" for Brass and String Orchestra, Op. 50, is",Paul Hindemith,0,0.0,0.10068837290549171,23.869075775146484
2375,"Eric S. Pistorius worked for the Department of Justice, which is the legal department of the United States government.",to ensure wide visibility and understanding of cases in a region,0,0.07692307692307693,0.10189958844399848,15.153208017349243
2376,Mehdi Hashemi was thought to be guilty of opposition to the Iranian regime's dealings during the Ali Khamenei's administration.,Reagan,0,0.0,0.10307506040620741,14.703826189041138
2377,John Landis and Gore Verbinski have a profession in common as both are directors.,director,0,0.0,0.10415517049335674,13.512405395507812
2378,The series represents a function that is used in the Homotopy analysis method.,infinite sum of terms,0,0.0,0.10497475593480625,10.252250671386719
2379,"Yes, Il trovatore has less acts than La rondine.

### Instruction:
Answer using the context.

### Context:
Doretta's Dream. Les vêpes siciliennes. Loretta Di Franco. Pietro Spagnoli. Plácido Domingo",no,0,0.0,0.1073368792207927,29.550970315933228
2380,"Arizona State Route 51 (SR 51) is named after the Piestewa Peak Recreation Area, which is located in the Pima County of Arizona. The peak was named after Lori Piestewa, the first Native American woman to die in combat in the U.S. Military",Hopi,0,0.0,0.1091414597771143,22.575989961624146
2381,"The student body makeup is 52 percent male and 48 percent female.
The answer is 52.",45%,0,0.0,0.11019342388402159,13.158715724945068
2382,The Christian minister who won the singles title with Jan Kodes in the 1970 French Open currently resides in the city of Milan.,"Perth, Western Australia",0,0.0,0.11162694620374286,17.934697151184082
2383,"The Traveling Wilburys and Tom Petty have a country of origin in common.

A:",American,0,0.0,0.11267985916532607,13.17168378829956
2384,Muzzle has more members than Primus.,Muzzle,0,0.2857142857142857,0.11314352213429504,5.800926446914673
2385,The Can de Palleiro originated in Galicia.,Can de Palleiro,0,0.6666666666666666,0.11394162822180288,9.984803676605225
2386,Cedric Myton.,country,0,0.0,0.11500761095701775,13.334546566009521
2387,"Lesley Foxcroft worked with MDF, Card, and Glass Wool.

### Instruction:
Answer using the context.

### Context:
Smart rubber. Jersey (fabric). Felted. Lesley Foxcroft. Glass wool. Paper. Plywood. Textile. Wild about Nothing",Paper,0,0.06666666666666667,0.11687092875327695,23.309994220733643
2388,"Thomas J. Connolly was born on September 25, 1957.","March 31, 1944",0,0.0,0.11784207263228726,12.1493661403656
2389,"Heinrich Marschner was a composer who performed in the time frame after one of the first significant composers in the Romantic school.

The answer is:",Romantic,0,0.09523809523809523,0.11904051270824918,14.991567611694336
2390,"Eastside Records

The answer is:",Walt Disney Pictures,0,0.0,0.11964207829744863,7.525739908218384
2391,Both Skyang Kangri and Pumari Chhish are both mountains.,subrange of the Karakoram range,0,0.0,0.12047211032803756,10.384165525436401
2392,"The song that reached No.4 on the UK charts and No. 19 on the U.S. ""Billboard"" Hot 100 is ""Won't Get Fooled Again"".",Tommy,0,0.0,0.12282056111953418,29.37920069694519
2393,"Julien Kang is the younger brother of the mixed martial artist of Japanese nationality.

### Instruction:
You are given a sentence in English. Your job is to translate the English sentence into Galician.

### Context:
The 2014 FIFA World Cup was the 20",Canadian,0,0.0,0.12470187442750286,23.53514528274536
2394,"The Man from Snowy River II was produced first.

Earn 1 point for correct answer.",The Man from Snowy River II,0,0.5263157894736842,0.12563184371873357,11.633091688156128
2395,The Stone Book series is set in England.,North West England,0,0.2,0.126355023512211,9.047885417938232
2396,"Yes, Centaurium and Dacrydium are both genera of plant species.",yes,0,0.18181818181818182,0.12723397328202815,10.995904207229614
2397,Stabyhoun refers to more breeds.,Griffon Bruxellois,0,0.0,0.12793984735947025,8.83221983909607
2398,The Flame of Liberty.,Liberty Enlightening the World,0,0.3333333333333333,0.12866624464019588,9.086150884628296
2399,The Sayrevill rock band that Frankie LaRocka played drums for was formed in 1978.,1983,0,0.0,0.12983109265452106,14.572308778762817
2400,"Bougainville – Our Island Our Fight

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Galician.

### Context:
El 15 de noviembre de 2009, el gobierno de la Rep",Bougainville,0,0.05714285714285715,0.13156459715121352,21.686673402786255
2401,The American indie rock group that first had Jesse Sandoval as the drummer and now has Jon Sortland on drums is The Shins.,The Shins,0,0.09523809523809523,0.13282398403023796,15.758321285247803
2402,"Kenneth L. Gile is the Chief Operating Officer of Virgin Express, an airline with its head office in London Heathrow Airport.",Dubai International Airport,0,0.09090909090909091,0.13428121290383627,18.227150440216064
2403,"August Heckscher established the Heckscher Museum of Art in Heckscher Park.

The answer is August Heckscher.",August Heckscher,0,0.25,0.13532238098602434,13.025393724441528
2404,"Mr. & Mrs. Mxyzptlk is an episode of the superhero TV series that originally aired on Nagoya Broadcasting Network (NBN)/TV Asahi.

Is the response to the question is factually correct?

Possible answers:
(1). no;
(2). yes",CBS,0,0.0,0.13723759211563702,23.96050715446472
2405,The correct answer is Danny Glover.,Danny Glover,0,0.5714285714285715,0.1380119549289122,9.688497543334961
2406,"Yes, both Michael Herz and Roland Emmerich direct comedic horror films.",no,0,0.0,0.1387620399217201,9.382463216781616
2407,Martin Luther King III is younger than his brother Dexter.,Dexter,0,0.18181818181818182,0.13952503601950905,9.5448637008667
2408,The Cleveland Browns were older when it had it's worst season.,Detroit Lions,0,0.0,0.1408883168034749,17.05536961555481
2409,"Doggerland.

### Instruction:
Extract the answer to the following question from the text. If the question isn't answerable, please output ""unanswerable"".

### Context:
The Doggerland was a land bridge between Great Britain and the European mainland during the last ice age. It",Doggerland,0,0.06060606060606061,0.14267565894290613,22.362159729003906
2410,"Dan Hanford has association with the club that is based in Clitheroe, Lancashire.",Clitheroe Football Club,0,0.26666666666666666,0.14347866395946288,10.044325113296509
2411,"The Tennessee–Tombigbee Waterway is longer, at 234 miles (377 kilometers).",Tennessee–Tombigbee Waterway,0,0.3636363636363636,0.1445731100468062,13.691542387008667
2412,"Davey Brozowski is a percussionist for a band that formed in Seattle, WA.",Issaquah,0,0.0,0.14566960881187951,13.717631578445435
2413,"The baseball draft with which Alex Lange was the 30th pick began in 2017.
The answer is 2017.

P.S. The information provided is about the baseball draft with which Alex Lange was the 30th pick.","June 12, 2017",0,0.0625,0.1475453979926334,23.46877431869507
2414,"Shirley Temple starred in her final film role in the 1964 film directed by Robert Aldrich, who also directed Vera Cruz and Kiss Me Deadly.",Mary Astor,0,0.0,0.14883905653136417,16.182089805603027
2415,"The National Autonomous University of Léon (Spanish: ""Universidad Nacional de Córdoba"" , UNC), founded in 1613, is the oldest university in Argentina, the fourth oldest in South America and the sixth oldest in Latin America.

### Instruction:
Answer using the context.",1966,0,0.0,0.15081207355907636,24.684139251708984
2416,"The air date of ""The Simpsons"" episode written by Matt Selman which parodied the VH1 series ""Behind the Music"" is January 27, 2008.","May 21, 2000",0,0.0,0.15237589784670813,19.56571865081787
2417,Hamilton Wanderers AFC has a former player that is vice captain for the New Zealand Football Championship.,New Zealand national team,0,0.2105263157894737,0.15343237142284594,13.214372396469116
2418,"The FIBT World Championships 1960 took place in Cortina d'Ampezzo, Italy.",the Veneto region of Northern Italy,0,0.13333333333333333,0.15448452659552256,13.162793636322021
2419,Fallen In Love was based on the paranormal romance series published under the press company Kensington/Zebra.,Delacorte Press,0,0.125,0.1555055615960336,12.772995710372925
2420,Kunyang Chhish and Ismoil Somoni Peak have a land elevation of 7400m.,mountain,0,0.0,0.15660645524800043,13.774260520935059
2421,"The anthology, in which the first pages of The Incal were released, was created in 1964.",December 1974,0,0.0,0.15773003437307315,14.053308248519897
2422,"Herbert Erhardt was known mostly as a central defender.

The answer is Herbert Erhardt.",Dante,0,0.0,0.15906315042154354,16.678582429885864
2423,The Swedish higher education system is called the continental education system.,Bologna Process,0,0.0,0.16012467506786945,13.279484510421753
2424,Monica Bellucci played Mary Magdalene in The Passion of the Christ.,Mary Magdalene,0,0.3636363636363636,0.1609223294527236,9.97814393043518
2425,"Shin Hyun-joon was in the successful South Korean comey sequel in the year 2000.
The answer is 2000.

---

### Instruction:
You are given a sentence in Japanese. Your job is to translate the Japanese sentence into Polish.",2005,0,0.0,0.1625920896337683,20.889480113983154
2426,Diva was founded first.,Elle,0,0.0,0.16338632335032824,9.935617923736572
2427,"The headquarters for the advertising agency which is recognized for its work on a campaign for the founder of ""Complex"" magazine is in New York City.",New York,0,0.16666666666666669,0.1646778656207761,16.15804696083069
2428,"Keokuk Falls is a ghost town in Pottawatomie County, Oklahoma.",Shawnee,0,0.0,0.1655945784437994,11.467600345611572
2429,"The Manila Light Rail Transit System Line 2, also known as LRT Line 2, LRT-2, or Megatren, is a rapid transit line in Metro Manila in the Philippines, generally running in an east-west direction along the Radial Road 6 and a portion of the Circumf",42.5,0,0.0,0.16767835809446482,26.068917274475098
2430,Yinxiang Motorcycle. Strømmens Værksted. Tenova Takraf. Harsco. Fortive. SS Ionic (1902). CGV – Compagnie Generale de Videotechnique. Noweco. Staveley Coal and Iron Company,"Belfast, Northern Ireland",0,0.0,0.16934214678225393,20.81453800201416
2431,"The Russian tracker originates from a region farther east.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Galician.

### Context:
El 15 de junio de 2015, el Gobierno de la Repú",Russian Tracker,0,0.1081081081081081,0.1712000366263951,23.24449586868286
2432,"The physicist known for his work on parity violation is Michael Hass. His son, Michael Hass, became an American chemist teaching at Cornell University.",Tsung-Dao Lee,0,0.0,0.0012099505647262495,15.139313459396362
